"","ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate","Finished","workerId","assignmentId","hitId","Q2_1","Q6","Q4","Q18_1","Q18_2","Q18_3","Q18_4","inst_moral","Q17_1","Q17_2","Q17_3","Q17_4","Earthquake","Tornado","Fastfood","Marine","Police","Mugging","Crushed","Dysentery","Cancer","Drunk","Football","Check_trial","Heater","Theft","Heroin","Flattire","Scratched","Dark","BrokenInto","Corruption","Rape","trial_t_1.1.","trial_t_2.1.","trial_t_3.1.","trial_t_4.1.","trial_t_1.2.","trial_t_2.2.","trial_t_3.2.","trial_t_4.2.","trial_t_1.3.","trial_t_2.3.","trial_t_3.3.","trial_t_4.3.","trial_t_1.4.","trial_t_2.4.","trial_t_3.4.","trial_t_4.4.","trial_t_1.5.","trial_t_2.5.","trial_t_3.5.","trial_t_4.5.","trial_t_1.6.","trial_t_2.6.","trial_t_3.6.","trial_t_4.6.","trial_t_1.7.","trial_t_2.7.","trial_t_3.7.","trial_t_4.7.","trial_t_1.8.","trial_t_2.8.","trial_t_3.8.","trial_t_4.8.","trial_t_1.9.","trial_t_2.9.","trial_t_3.9.","trial_t_4.9.","trial_t_1.10.","trial_t_2.10.","trial_t_3.10.","trial_t_4.10.","trial_t_1.11.","trial_t_2.11.","trial_t_3.11.","trial_t_4.11.","trial_t_1.23.","trial_t_2.23.","trial_t_3.23.","trial_t_4.23.","trial_t_1.25.","trial_t_2.25.","trial_t_3.25.","trial_t_4.25.","trial_t_1.26.","trial_t_2.26.","trial_t_3.26.","trial_t_4.26.","trial_t_1.28.","trial_t_2.28.","trial_t_3.28.","trial_t_4.28.","trial_t_1.30.","trial_t_2.30.","trial_t_3.30.","trial_t_4.30.","trial_t_1.31.","trial_t_2.31.","trial_t_3.31.","trial_t_4.31.","trial_t_1.32.","trial_t_2.32.","trial_t_3.32.","trial_t_4.32.","trial_t_1.33.","trial_t_2.33.","trial_t_3.33.","trial_t_4.33.","trial_t_1.34.","trial_t_2.34.","trial_t_3.34.","trial_t_4.34.","trial_t_1.35.","trial_t_2.35.","trial_t_3.35.","trial_t_4.35.","Q19","why","thoughts","Q8","sex","age","attn","Q25","LocationLatitude","LocationLongitude","LocationAccuracy"
"11","R_2DYdjncWP34y0EI","Default Response Set","Anonymous",NA,NA,"0dbc0569d80d146d",0,"3/22/18 10:09","3/22/18 10:14",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,5.401,0,1,0,0,14.229,0,4,3,4,3,1,4,2,3,2,3,3,5,2,3,3,2,3,3,2,4,2,1.389,1.989,2.662,2,0.497,1.012,1.657,2,0.365,0.78,1.476,2,26.58,27.205,27.947,2,0.325,0.9,1.555,2,0.413,0.938,1.803,2,0.351,0.9,1.593,2,0.346,0.908,1.606,2,0.313,1.56,1.844,3,0.438,0.963,1.55,2,1.004,1.82,2.483,2,0.242,0.611,1.231,2,14.584,15.137,15.882,2,0.803,1.435,2.133,2,1.081,2.696,3.1,4,0.614,1.229,1.964,2,0.373,0.918,1.54,2,0.615,1.13,1.742,2,0.334,1.491,1.926,3,3.231,3.904,4.598,2,0.278,1.17,1.8,3,1,"It felt right","no",1,1,27,1,1,33.65,-112.39,-1
"12","R_2wFF0z94QVnvETP","Default Response Set","Anonymous",NA,NA,"163bdff43ba8c71d",0,"3/22/18 10:11","3/22/18 10:14",1,"7ec814c61dce5e60",NA,NA,1,1,1,7.072,7.072,7.184,1,1,6.948,6.948,6.96,1,1,1,1,1,1,1,2,1,5,1,1,5,5,5,5,5,5,5,5,5,5,2.34,2.861,3.338,3,1.655,2.06,2.501,3,2.216,2.902,3.403,3,1.137,4.403,4.418,5,2.12,5.255,5.726,5,1.934,2.779,3.23,4,3.093,3.598,4.081,3,2.279,2.798,3.291,3,1.848,2.231,2.671,3,2.601,3.121,3.594,3,2.175,20.929,21.339,9,2.977,4.96,5.45,4,3.268,4.127,4.57,4,1.879,6.482,6.915,5,1.19,3.234,3.693,4,2.131,2.975,3.445,4,1.744,2.213,2.77,3,2.64,3.245,3.714,3,2.05,3.064,3.48,4,26.156,27.601,27.949,6,1.933,3.695,3.71,5,1,"just tried to go with what seemed more likely, what was heard about more","",1,2,29,1,1,37.63,-77.54,-1
"13","R_2zj2n0dwxQYqpL7","Default Response Set","Anonymous",NA,NA,"c979e605b338886e",0,"3/22/18 10:09","3/22/18 10:15",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.135,0,1,0,0,6.289,0,2,1,2,1,1,1,1,1,5,1,1,5,4,4,4,5,5,5,2,4,5,4.523,4.523,5.97,1,4.09,5.14,5.648,2,0.561,0.561,4.88,1,6.364,6.364,7.443,1,11.058,11.058,12.386,1,3.153,3.153,5.346,1,3.919,3.919,5.889,1,38.41,38.41,39.372,1,10.143,10.143,11.198,1,4.182,5.917,7.061,2,0.661,3.303,5.111,2,3.728,3.728,6.793,1,6.36,6.36,7.098,1,8.383,8.383,9.495,1,10.025,10.025,10.942,1,7.585,7.585,8.119,1,2.547,2.547,3.881,1,8.361,8.361,13.199,1,7.488,7.488,8.913,1,4.392,4.392,6.022,1,3.293,3.293,4.018,1,1,"A lot of it was based on the area that the event took place.","no",1,1,43,1,1,39.36,-77.48,-1
"14","R_wN7bEf3weVMa6Gd","Default Response Set","Anonymous",NA,NA,"d5822eeaa9067393",0,"3/22/18 10:12","3/22/18 10:17",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.185,0,1,0,0,11.567,0,1,1,2,1,4,1,3,1,5,2,1,5,5,4,1,3,4,5,4,5,5,6.583,7.016,8.066,2,4.508,5.661,5.925,3,2.138,9.594,10.325,6,10.197,16.97,17.61,3,7.907,8.584,9.989,2,1.824,4.428,5.379,4,6.422,7.875,8.71,3,6.814,7.454,8.422,2,2.989,3.581,4.377,2,0.862,4.591,5.29,6,5.464,7.161,7.751,3,5.924,7.708,8.772,2,5.703,6.466,7.19,2,6.335,7.415,8.371,3,5.542,8.1,8.758,4,9.657,10.932,11.973,2,2.561,3.31,3.982,2,2.44,3.844,4.355,2,5.539,6.17,6.866,2,4.864,6.8,7.458,3,1.447,4.431,5.134,3,1,"I thought about more stereotypes of what i have been around and common sense to answer","none",1,2,26,1,1,28.08,-82.52,-1
"15","R_3QXlYc6gdU1t2Ma","Default Response Set","Anonymous",NA,NA,"58a180a4c12fa5a7",0,"3/22/18 10:09","3/22/18 10:18",1,"7ec814c61dce5e60",NA,NA,1,1,1,323.172,323.332,323.726,2,1,0,0,24.936,0,3,3,1,2,2,1,3,1,5,1,2,5,5,3,4,5,5,5,4,4,4,8.282,8.282,8.946,1,2.778,3.454,4.856,2,3.712,3.712,3.96,1,51.164,52.578,52.682,2,5.526,5.526,6.206,1,2.828,2.828,3.636,1,2.424,2.424,3.49,1,14.538,14.538,15.616,1,4.524,4.524,6.138,1,2.514,4.34,4.594,2,5.612,5.612,6.34,1,2.962,2.962,3.84,1,5.636,5.636,6.236,1,2.328,2.328,2.402,1,6.174,6.174,7.542,1,6.342,6.342,6.406,1,2.286,2.58,3.338,2,2.194,2.194,3.322,1,2.626,2.626,2.716,1,4.834,4.834,5.48,1,6.166,6.91,7.324,2,1,"I chose the one that seemed more logical.","",1,1,29,1,1,25.98,-80.34,-1
"16","R_1gu2LpJ2h3yRpma","Default Response Set","Anonymous",NA,NA,"542cb6250ec5196a",0,"3/22/18 10:15","3/22/18 10:19",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.065,0,1,0,0,9.236,0,2,1,1,2,1,2,1,1,5,1,1,4,4,3,3,5,5,5,4,5,4,6.193,6.193,7.903,1,3.519,3.519,4.864,1,5.499,5.499,7.263,1,7.023,7.023,8.336,1,7.35,9.115,9.601,2,4.472,4.472,5.981,1,3.645,3.645,4.859,1,2.991,2.991,4.327,1,4.299,4.299,5.279,1,4.708,4.708,6.234,1,5.176,5.176,6.607,1,4.797,4.797,6.089,1,10.355,10.355,12.248,1,8.734,8.734,9.976,1,4.492,4.492,5.37,1,8.852,8.852,9.665,1,4.177,4.177,5.489,1,4.089,4.089,4.882,1,7.69,7.69,8.942,1,5.154,5.154,6.003,1,4.109,4.109,5.587,1,1,"I answered mostly on the location the event took place.","no",1,2,45,1,1,41.58,-93.68,-1
"17","R_1oj8b9Ln3r4f2Xf","Default Response Set","Anonymous",NA,NA,"002c2fb74ef2ac46",0,"3/22/18 10:19","3/22/18 10:22",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,6.621,0,1,0,0,7.404,0,1,1,2,1,2,2,2,1,5,1,2,5,4,4,4,5,5,5,4,4,4,2.116,2.116,2.978,1,2.131,2.131,2.741,1,2.82,2.82,3.377,1,3.914,3.914,4.981,1,4.721,4.721,5.599,1,3.822,3.822,4.531,1,8.158,8.85,9.516,2,1.922,1.922,3.242,1,3.196,3.196,3.741,1,2.088,2.898,3.171,2,3.412,3.412,4.075,1,3.563,4.391,4.726,2,2.818,2.818,3.261,1,11.161,11.161,11.693,1,2.386,4.054,4.429,3,3.463,3.463,3.994,1,8.4,8.4,8.945,1,3.247,3.247,3.71,1,6.433,6.433,7.103,1,2.777,2.777,3.283,1,2.39,2.832,3.131,2,1,"I chose the option that usually happened more often. The one with better conditions for the event to happen.","",1,2,23,1,1,33.9,-83.33,-1
"18","R_1fjXYb7MGJHeqAR","Default Response Set","Anonymous",NA,NA,"df8f62b5b66dede0",0,"3/22/18 10:19","3/22/18 10:23",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.148,0,1,0,0,12.086,0,1,1,1,1,2,1,1,1,5,1,1,5,5,5,4,5,5,4,4,5,5,4.416,5.658,7.71,2,4.564,4.564,6.836,1,3.206,3.206,4.858,1,7.432,7.432,9.998,1,6.306,6.306,8.666,1,2.768,2.768,4.428,1,4.528,4.528,6.652,1,3.394,3.394,5.328,1,2.754,2.754,4.742,1,4.674,4.674,7.376,1,3.744,3.744,5.674,1,7.366,8.308,10.248,2,5.514,5.514,7.974,1,8.506,8.506,10.026,1,4.114,4.114,5.766,1,6.612,6.612,7.84,1,2.582,2.582,4.222,1,4.018,4.018,5.986,1,6.086,6.086,8.21,1,11.506,11.506,13.404,1,3.616,3.616,5.832,1,1,"Most questions had obvious answers and I chose those.","no",1,2,29,1,1,41.55,-93.62,-1
"19","R_3fT4mrKzYCGvrr6","Default Response Set","Anonymous",NA,NA,"4e4b48ebf2ff6896",0,"3/22/18 10:21","3/22/18 10:23",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,17.124,0,1,0,0,20.068,0,3,3,3,3,4,3,3,4,3,4,3,4,3,5,3,3,4,1,4,3,3,0,0,0.996,0,0,0,0.758,0,0,0,1.165,0,0,0,1.058,0,0,0,1.254,0,0,0,0.8,0,0,0,1.187,0,0,0,0.919,0,0,0,1.432,0,0,0,0.927,0,0,0,0.96,0,0,0,1.019,0,0,0,0.838,0,0,0,0.861,0,0,0,0.97,0,0,0,0.697,0,0,0,0.747,0,0,0,0.921,0,0,0,1.042,0,0,0,0.762,0,0,0,0.857,0,1,"I think I chose this way because it was the most efficient way of doing it at the time.","I enjoyed taking this survey.",1,1,35,0,1,40.13,-89.36,-1
"20","R_23TuL68DjEFxF3K","Default Response Set","Anonymous",NA,NA,"42da1d6970c19af3",0,"3/22/18 10:10","3/22/18 10:26",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,85.448,0,1,0,0,52.51,0,1,5,1,1,5,1,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,17.469,18.013,18.773,2,2.486,2.958,3.693,2,18.738,19.825,20.176,2,8.328,8.328,9.736,1,5.091,5.091,8.457,1,3.869,3.869,4.659,1,21.402,21.402,22.216,1,1.283,1.283,2.163,1,3.022,3.022,3.557,1,164.722,165.482,166.936,2,170.439,170.439,171.327,1,177.489,177.489,178.496,1,10.259,10.259,10.955,1,7.217,7.217,7.8,1,2.525,2.525,3.003,1,17.883,17.883,18.481,1,1.966,1.966,2.701,1,8.818,8.818,9.545,1,3.087,3.087,3.781,1,2.867,2.867,3.506,1,2.162,2.162,2.72,1,1,"Logic","no",1,1,25,1,1,29.75,-95.41,-1
"21","R_12F0L0qhbehZJKC","Default Response Set","Anonymous",NA,NA,"a30b6f5556a95881",0,"3/22/18 10:18","3/22/18 10:26",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,20.36,0,1,0.624,2.002,6.28,6,1,1,2,1,1,2,2,1,5,1,1,5,5,4,5,5,5,4,4,5,5,12.045,12.045,13.523,1,5.647,6.796,7.035,2,10.134,13.326,14.674,7,12.255,12.255,13.428,1,3.174,9.302,10.969,11,25.661,25.661,26.72,1,11.416,12.958,14.142,5,2.753,2.753,4.452,1,3.469,3.469,4.31,1,3.174,4.244,5.548,2,5.373,5.373,6.392,1,5.294,5.294,7.837,1,1.074,3.985,5.679,7,0.989,4.309,5.173,7,2.805,2.805,4.009,1,0.616,15.861,16.175,17,157.512,157.512,158.591,1,3.153,3.153,4.312,1,43.975,46.783,48.059,7,1.631,4.259,4.908,4,3.506,3.506,4.672,1,1,"I considered the aspect of each sentence and then decided which was more likely to occur based on my knowledge of life.","",1,1,33,1,1,42.52,-83.16,-1
"22","R_3qpW1bijkggagUX","Default Response Set","Anonymous",NA,NA,"9e26a8c18290595f",0,"3/22/18 10:26","3/22/18 10:30",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,3.972,0,1,0,0,5.947,0,2,4,2,2,3,2,2,2,4,2,2,5,4,4,4,4,4,4,4,4,4,3.495,3.495,4.241,1,4.671,4.671,6.626,1,3.245,3.245,3.895,1,8.327,8.327,9.064,1,6.716,6.716,7.521,1,2.558,6.771,9.229,2,4.455,4.455,5.63,1,5.934,5.934,6.706,1,3.456,4.289,4.667,2,4.123,4.123,4.887,1,5.134,5.134,6,1,4.909,4.909,5.983,1,4.985,4.985,5.653,1,15.343,15.343,16.202,1,4.917,7.768,8.417,3,3.166,3.166,4.555,1,3.492,3.492,4.259,1,2.541,2.541,3.269,1,4.045,4.045,5.029,1,3.566,3.566,4.282,1,2.544,2.544,3.623,1,1,"depending mostly on location of the incident, whether they were more prone to happen or not, occupation of the person played a role, safety of the location, what you hear on the news typically happening ","",1,2,26,1,1,38.35,-75.54,-1
"23","R_3IaQy4dFR20IEaU","Default Response Set","Anonymous",NA,NA,"cd63c28924c53cda",0,"3/22/18 10:15","3/22/18 10:34",1,"7ec814c61dce5e60",NA,NA,1,1,1,0,0,4.424,0,1,0,0,51.008,0,4,2,1,1,1,4,2,1,5,1,2,5,1,4,5,4,4,5,5,4,4,6.31,6.31,7.111,1,2.544,43.758,44.865,2,6.688,6.688,7.771,1,1.57,3.642,9.915,3,129.574,151.167,152.042,2,6.532,8.212,9.057,2,87.059,87.059,88.204,1,18.196,18.196,19.018,1,5.833,5.833,6.67,1,52.173,52.173,53.056,1,6.371,6.371,7.151,1,5.746,5.746,8.33,1,22.999,22.999,24.361,1,27.725,27.725,28.727,1,14.638,14.638,15.533,1,11.336,11.715,12.835,2,14.249,14.249,15.364,1,6.364,6.364,7.303,1,14.165,14.165,15.018,1,14.343,14.343,15.353,1,7.069,7.069,7.994,1,1,"the event was more likely to happen ","none",1,1,30,1,1,42.36,-71.05,-1
